ECO,29.20,41.00,190,1,123.90
ECO,29.10,40.00,192,1,131.40
ECO,29.70,40.00,192,1,124.10
ECO,29.20,40.00,194,1,132.30
ECO,29.70,40.00,195,1,130.60
ECO,29.40,40.00,190,1,128.70
ECO,29.80,40.00,193,1,131.50
ECO,29.30,41.00,186,1,124.30
ECO,29.40,40.00,179,1,125.80
ECO,29.50,40.00,184,1,125.40
ECO,29.80,40.00,193,1,131.90
ECO,29.90,40.00,180,1,123.00
ECO,29.80,40.00,189,1,123.50
ECO,29.90,40.00,179,0,126.00
ECO,29.60,40.00,182,0,126.90
ECO,29.20,40.00,176,0,132.90
ECO,29.80,40.00,184,0,123.80
ECO,29.90,40.00,182,0,125.60
ECO,29.50,40.00,176,0,131.40
ECO,29.10,40.00,182,0,123.10
ECO,29.00,40.00,181,0,0.00
ECO,29.60,40.00,182,0,122.40
ECO,29.30,40.00,177,0,133.50
ECO,29.70,40.00,190,0,126.60
ECO,29.10,40.00,193,0,125.10
ECO,29.70,41.00,190,0,128.10
ECO,29.50,40.00,193,0,119.80
ECO,29.80,40.00,157,0,120.60
ECO,29.90,40.00,154,0,119.50
ECO,29.00,40.00,157,0,0.00
ECO,29.50,40.00,160,0,125.60
ECO,29.90,40.00,159,0,124.60
ECO,29.00,40.00,142,0,0.20
ECO,29.10,40.00,163,0,0.00
ECO,29.90,40.00,210,0,0.00
ECO,29.00,40.00,215,0,0.00
NOAPTE,29.30,40.00,211,0,93.30
ECO,29.90,40.00,134,0,130.50
ECO,29.10,40.00,133,0,123.50
ECO,29.90,40.00,135,0,123.10
ECO,29.80,40.00,285,0,126.60
ECO,29.80,40.00,210,0,110.90
CONFORT,29.50,40.00,224,0,116.80
ECO,29.50,40.00,217,0,121.40
ECO,29.50,40.00,207,0,131.40
ECO,29.60,40.00,235,0,128.60
ECO,29.70,40.00,208,0,129.00
ECO,29.30,40.00,222,0,128.70
ECO,29.00,40.00,237,0,0.10
ECO,29.80,40.00,235,0,106.30
ECO,29.80,40.00,237,0,135.20
ECO,29.10,40.00,238,0,128.40
ECO,29.20,40.00,240,0,106.20
ECO,29.10,40.00,248,0,129.80
ECO,29.30,40.00,215,0,142.10
ECO,29.10,40.00,200,0,129.90
ECO,29.60,40.00,204,0,128.50
ECO,29.00,40.00,193,0,0.00
ECO,29.60,40.00,192,0,132.70
ECO,29.40,40.00,196,0,137.00
ECO,29.90,40.00,200,0,129.60
ECO,29.00,40.00,192,0,0.00
ECO,29.40,40.00,197,0,130.20
ECO,29.10,40.00,201,0,126.90
ECO,29.70,40.00,195,0,133.90
ECO,29.00,40.00,192,0,0.00
ECO,29.80,40.00,199,0,137.40
ECO,29.70,40.00,199,0,129.80
ECO,29.60,40.00,208,0,138.20
ECO,29.30,40.00,951,0,0.545
ECO,29.40,40.00,948,0,0.574
ECO,29.00,40.00,947,0,0.000
ECO,29.20,40.00,947,0,0.545
ECO,29.40,40.00,948,0,0.539
ECO,29.20,40.00,948,0,0.562
ECO,29.70,40.00,948,0,0.530
ECO,29.10,40.00,949,0,0.520
ECO,29.30,40.00,947,0,0.555
ECO,29.70,40.00,947,0,0.557
ECO,29.00,40.00,949,0,0.000
ECO,29.00,40.00,949,0,0.000
ECO,29.30,40.00,946,0,0.562
ECO,29.70,40.00,949,0,0.555
ECO,29.90,40.00,945,0,0.538
ECO,29.20,40.00,949,0,0.544
ECO,29.40,40.00,944,0,0.519
ECO,29.90,40.00,947,0,0.531
ECO,29.10,40.00,944,0,0.541
